"region","name","alpha_D","beta1","beta10","beta11","beta12","beta13","beta14","beta15","beta16","beta17","beta18","beta19","beta2","beta20","beta21","beta22","beta23","beta24","beta25","beta26","beta27","beta28","beta29","beta3","beta30","beta31","beta32","beta33","beta34","beta35","beta36","beta37","beta38","beta39","beta4","beta40","beta41","beta42","beta5","beta6","beta7","beta8","beta9","mu_D_1","mu_D_2","p_G_D","start_date"
"kabwe","alpha_D",0.000697172711880069,0.000150676475450443,1.36554966984813e-05,-1.9055362584772e-05,9.29588664476049e-05,-3.61416542410936e-05,-5.63849216156442e-05,2.81307115812351e-05,-2.1955820996861e-05,-0.000158368864890405,0.000176356263561845,-0.00012942273471739,-4.86802936865437e-05,7.0690156068608e-05,0.000217834184076966,-0.000154117617713923,-5.95465432069175e-05,0.000129604700921676,5.72650964088758e-05,-0.000173235432072427,2.37160439276088e-06,-2.17574304031907e-05,5.15373496466943e-05,-5.02008787624033e-05,-0.000121048254536201,5.00094845176298e-05,7.81529316592071e-05,-0.000188872316513515,5.00376179820841e-05,1.18978416375872e-05,7.66391678701776e-05,0.000144884946176242,-9.97779858692635e-06,-5.24488439952272e-05,5.38965756991004e-05,7.71346627702994e-05,-6.13399553471598e-05,0.000167044630706461,3.11859246580236e-05,-8.3494392511267e-05,4.66142787794708e-05,8.28090609920657e-05,-3.17912371348571e-05,0.000147829077990663,0.00112148011893511,-0.000276049794410097,-0.00846094953900031
"kabwe","beta1",0.000150676475450443,0.000437601328971479,5.07346353185007e-05,-2.48218065191229e-05,5.64176997068469e-05,-7.1758296770861e-05,-8.34260404830464e-05,6.71199800456335e-05,-4.06529945690452e-05,0.000100219104710631,-6.46065391812396e-06,-9.55413018288288e-05,-2.5598381198568e-06,9.43885846072553e-05,0.00010223495264157,-9.50331872958011e-05,-1.04316883906809e-05,8.56782605155358e-05,-3.31187533728193e-07,-0.000175980467050342,-0.000107265301308116,0.000178299967691973,-1.47448520109376e-05,-7.71134112542729e-05,-8.39162889305051e-05,0.000179524810311717,-0.00010218541789441,-0.000129796915592732,-8.19397032838267e-05,0.000149153639609652,-0.000208036460364652,0.000226424246320143,4.11687683420185e-05,-9.90426100900085e-05,2.44397388611588e-05,8.26151108177922e-05,-8.17168554570375e-05,-7.45341595728673e-05,4.4666595601441e-06,-2.17609301178343e-05,3.76338730397952e-05,2.25940010237407e-05,3.27470439433e-05,-0.000901854646766398,4.23515464750548e-05,-1.20768810737739e-05,0.00102980958569527
"kabwe","beta10",1.36554966984813e-05,5.07346353185007e-05,7.78308492710505e-05,-2.79239631036726e-05,1.16414764819002e-05,-6.23521784475831e-06,-2.56980933415835e-05,5.04991073977967e-06,-8.9503067691789e-06,4.15759290703186e-05,-1.78584121750538e-05,-7.73311485153363e-05,-1.31468625950421e-05,4.81946632737715e-05,0.000129822786799157,-5.91670499600793e-05,-5.85948222330363e-06,7.52707578163041e-06,-7.55939778678524e-06,-2.00406471135944e-05,-2.52654592082137e-05,1.03637928653112e-05,-2.43697517915811e-05,5.40654669314493e-06,9.25354751355664e-06,-6.71585079366085e-06,-2.93387885736878e-05,-2.31067922384075e-05,-1.91252304983842e-05,1.09636062531934e-06,-1.38406568821217e-05,-4.66938460328247e-05,9.88025153276551e-05,-1.79893347330594e-05,4.92753198869766e-07,-1.99585633797518e-05,1.82033817200524e-05,-4.6615425211489e-05,1.45494493805375e-05,-2.02237066811176e-05,-4.36688025402753e-05,-1.57242492406418e-05,2.08537108289982e-06,2.61432503071242e-05,-0.000461219885253063,-4.31961825957898e-05,-0.00139622559012788
"kabwe","beta11",-1.9055362584772e-05,-2.48218065191229e-05,-2.79239631036726e-05,6.26053669850971e-05,-2.19883314502894e-05,-1.88566401586531e-05,3.29976791365345e-05,-3.82886184162732e-05,8.57983143325882e-06,1.05642194036598e-05,-8.96537324189104e-06,3.68410518558634e-05,-9.7200969757873e-06,-1.07233084003363e-05,-9.00278050708775e-05,4.23903527638575e-05,6.6762815709564e-06,-1.6277075506738e-05,-9.92818515351073e-06,6.02615011023844e-06,-9.83193124211497e-06,-2.2736392966136e-05,-1.49556856127324e-05,1.32091761906562e-05,-8.42785289403704e-06,2.83557797609323e-05,2.43822832188619e-05,8.06554268149461e-06,-1.3416495266048e-05,-3.73930032979084e-05,-7.83713201887007e-06,4.58398753023979e-05,-2.87260487414464e-05,8.11740528102501e-06,-1.22080429221592e-05,7.049654412002e-06,3.33811618433376e-05,1.41910339572263e-05,-1.38294366944691e-05,2.09791650398294e-05,-1.32868472486446e-05,-6.27800252627326e-06,-9.06601369733406e-06,0.00104596644775638,-0.00011299071222455,-6.12978377914451e-05,0.00145813952651754
"kabwe","beta12",9.29588664476049e-05,5.64176997068469e-05,1.16414764819002e-05,-2.19883314502894e-05,9.83935624153634e-05,-2.08313687108935e-05,-2.99019759888966e-05,-7.76374233877797e-06,-1.56041280179828e-05,-4.76930202593171e-05,6.93548719506012e-05,-1.82713826919478e-05,5.24100549997716e-06,1.59954129132542e-05,3.01421785150036e-05,-7.16693525312527e-05,-1.58363675044524e-05,8.01505317494464e-05,-1.68148353575655e-05,-6.91218577275716e-05,-1.05122482941221e-05,7.68453362938901e-06,-1.87700770513735e-05,3.4502985603528e-06,-2.51124473780867e-05,4.03367174160011e-05,4.5808465380646e-05,-9.76274867942837e-05,2.81985571685346e-06,2.98929235530445e-05,2.35378675679199e-05,6.52071792974254e-05,2.69586329906654e-05,-5.57491634933024e-05,1.68449833699102e-05,6.87061807960545e-05,-1.75185137087416e-06,-4.59970370970632e-05,1.75015804201744e-05,-9.30550473050234e-06,-2.41099703689216e-07,-3.9962308747725e-06,-2.23837495353574e-05,-0.000475710041562929,-0.000857112749470364,-9.33001584384807e-05,0.00150073290565801
"kabwe","beta13",-3.61416542410936e-05,-7.1758296770861e-05,-6.23521784475831e-06,-1.88566401586531e-05,-2.08313687108935e-05,7.52139896514738e-05,4.60682235706817e-06,-2.59180048469036e-05,-1.00282664416407e-05,-3.8698077042255e-09,-2.23769893805699e-05,2.82385576411425e-05,8.64396472941955e-06,-1.87281748123668e-05,-1.11637014454749e-05,2.77217570356721e-05,-3.19224616096951e-06,-1.41590293316793e-05,5.53499668726924e-06,3.9691069730034e-05,3.75820621988245e-05,-8.50068204481178e-06,1.93501268385828e-07,1.38705328676278e-05,1.70671492912489e-05,-2.59295089216714e-05,2.9386109153485e-06,4.73424671909141e-05,3.75946919065215e-05,-2.40523154077741e-05,5.9600733272738e-05,-6.13617396216754e-05,-4.3436527646983e-05,4.64397942189888e-05,-1.49641244143223e-05,-1.03026133782776e-05,-8.11531255707387e-08,-1.6840737692392e-05,1.30710434328172e-05,7.58967064136947e-06,-1.47115684743217e-05,4.60895890494032e-06,-1.70558897221189e-05,-0.000569894156560162,-0.000171082972896554,6.68188102569362e-05,-0.00137904224283505
"kabwe","beta14",-5.63849216156442e-05,-8.34260404830464e-05,-2.56980933415835e-05,3.29976791365345e-05,-2.99019759888966e-05,4.60682235706817e-06,8.15630669833924e-05,-4.54254402541212e-05,-1.56260699059746e-05,-2.63709604464838e-05,-9.0143598479759e-06,6.15659133886072e-05,3.21281949674538e-07,-5.78260213188759e-06,-0.000103964360865349,6.67558975263042e-05,1.94558929932243e-06,-5.43890817734166e-05,5.50267482218592e-06,4.36775408502509e-05,9.35534727146978e-06,-2.07024347595737e-05,1.24854760957237e-05,1.68453025527792e-05,-4.74064063357012e-06,-2.34550427216416e-05,2.49193328907569e-05,1.21929966347906e-05,3.57538577875352e-05,-6.97639053564541e-05,5.48485767055284e-05,-2.44444100852569e-05,-2.35299315311319e-05,5.12345918338324e-05,-7.63915717506245e-07,-1.92383970981553e-05,3.49226747257292e-05,2.56420730098841e-05,-2.18905289423257e-05,1.91666766159975e-05,-1.41788800002228e-05,3.56294615674555e-06,-9.74178451470929e-06,0.000815905161596795,-0.000690640791478944,3.38849002046835e-05,0.00215231383707512
"kabwe","beta15",2.81307115812351e-05,6.71199800456335e-05,5.04991073977967e-06,-3.82886184162732e-05,-7.76374233877797e-06,-2.59180048469036e-05,-4.54254402541212e-05,0.000132380273279485,4.32681649027637e-06,-1.77691382851879e-05,3.51073922473567e-06,-5.63183567349231e-05,6.23837033319577e-06,-1.96893775169004e-05,7.19310088339735e-05,-2.04600960733108e-05,2.1141630520306e-05,-1.36151041120507e-05,2.48438628386112e-06,1.85528378076189e-05,-8.76033719168946e-06,1.37140968560011e-05,4.48427451365162e-05,-3.13709999701203e-05,-8.08258790683771e-06,-2.00189191250563e-05,-4.04065006839019e-05,5.70336317311973e-06,-1.78194493972099e-05,6.71345204355131e-05,-5.99051414974613e-05,-2.12064494138896e-06,-6.99906328536522e-07,-3.16167927174258e-06,2.03114482681417e-05,-4.20867017512952e-05,-3.89638702306768e-05,3.58811079499608e-05,-6.75512798569639e-06,-8.02879443272199e-06,3.75664073236842e-05,5.01688083643992e-06,3.52155317058719e-05,-0.000500621937850777,0.00110612328033829,7.83394665217467e-05,-0.00120103289600745
"kabwe","beta16",-2.1955820996861e-05,-4.06529945690452e-05,-8.9503067691789e-06,8.57983143325882e-06,-1.56041280179828e-05,-1.00282664416407e-05,-1.56260699059746e-05,4.32681649027637e-06,0.000111970339558377,-7.149730694422e-05,-3.35236674705799e-05,3.57856457506393e-05,-3.65335533171753e-05,-4.40302457831356e-05,5.3612493642936e-06,3.4759868483622e-06,-2.17481974531424e-05,3.89970961602388e-05,-9.44541297324143e-06,-2.1245819320775e-06,-2.37701091331273e-05,-2.83300478114291e-06,-2.09101769833284e-05,-5.79965923272953e-06,2.05685602919194e-05,-4.34501020432598e-05,1.98927937098419e-05,6.12911844185641e-05,-4.87597166579934e-05,2.03982460667375e-05,-6.75848260422349e-05,1.59562446023725e-05,-1.30842836335294e-05,3.43626048572709e-06,8.24094026138776e-06,2.54691993750757e-05,-2.65580793644837e-05,4.23267070896898e-05,1.48362181701943e-05,-1.8323366507889e-05,4.10298651508548e-05,-9.41503972736038e-06,6.7478830700136e-06,-0.000243416064642266,0.00022028029505002,6.52084772896304e-05,-0.000168327167205968
"kabwe","beta17",-0.000158368864890405,0.000100219104710631,4.15759290703186e-05,1.05642194036598e-05,-4.76930202593171e-05,-3.8698077042255e-09,-2.63709604464838e-05,-1.77691382851879e-05,-7.149730694422e-05,0.000354985351822608,-0.000134268063308043,-0.000110877029981661,5.14472642220171e-05,7.74215475771351e-05,-1.69089118393949e-05,2.14407425392197e-05,6.99919473128423e-05,-6.04582702114719e-05,-8.79564421774148e-06,-2.51396741346743e-05,2.06278780240484e-05,6.19855779000826e-05,-9.64436551301726e-05,-2.41626919454585e-06,5.80692887024505e-05,0.000138486801250707,-0.000130332576666133,1.68429128941621e-05,-2.39696314336472e-05,-1.33938595012846e-05,-7.63145550794159e-05,-5.25765916121811e-05,7.64489302683407e-05,-0.000125044236975805,-6.31722485134182e-05,-7.80074093518646e-05,4.85801242433508e-05,-0.000223203281894669,-2.37949950016347e-05,4.09372543711805e-05,-0.000105546733062224,-8.11354064173995e-08,1.79250201949291e-05,0.000400427653069322,0.00138195291821703,-0.000160496363493644,-0.00320365227868829
