"region","name","alpha_D","beta1","beta10","beta11","beta12","beta13","beta14","beta15","beta16","beta17","beta18","beta19","beta2","beta20","beta21","beta22","beta23","beta24","beta25","beta26","beta27","beta28","beta29","beta3","beta30","beta31","beta32","beta33","beta34","beta35","beta36","beta37","beta38","beta39","beta4","beta40","beta41","beta42","beta5","beta6","beta7","beta8","beta9","mu_D_1","mu_D_2","p_G_D","start_date"
"kabwe","alpha_D",0.000672854601552083,7.79260741461516e-05,9.72558665184473e-06,3.88097664988108e-05,-2.70682920789715e-05,8.19083426337962e-09,8.14800619861634e-05,-1.83249926510346e-05,9.26206419207837e-05,-1.91917303279354e-05,-0.000115616512837186,-0.000169708287922163,5.76737932133934e-05,8.39950789675872e-05,0.000136553438134206,0.000112626813242949,-4.99927203830011e-05,-0.00016640871458331,0.000133043140866478,1.43651666207813e-05,-7.25727726781864e-05,0.000187742313753645,-7.94425283106996e-05,-0.000107143059885446,0.000126051403687665,-0.000130814610047964,-8.53399405018294e-05,8.12710203505022e-05,-9.74682714115101e-05,8.78089892283923e-05,3.79073484582911e-05,0.000145589232895981,-1.65749228762899e-05,-0.000186336596759933,-1.91459257768452e-05,-0.000266080905636735,-5.9548605308271e-05,0.000211253481846422,-3.00637208559114e-05,-6.93464289870495e-06,0.000123831556017937,6.14696398254195e-05,2.86266557205434e-05,0.000251237867177662,-0.00118621229423758,0.000126138147325283,-0.00326676622531317
"kabwe","beta1",7.79260741461516e-05,0.000233888207736111,3.96511078105305e-05,2.84045184030681e-05,6.78079161172145e-05,-4.24288656361296e-05,-3.3830640072029e-05,-4.51715798698076e-05,9.21449455519807e-05,-9.14190846310972e-05,-4.40794874916275e-05,-0.000107981286405374,2.65445310219038e-05,7.0616353652709e-05,8.51528913685784e-05,-1.99575332112611e-06,6.81517090798024e-05,-0.000128266380901283,1.15310856745127e-05,-8.17821581114368e-06,5.58924874972424e-05,0.000120955874561792,-0.000108208023623329,-0.000153009622924234,-1.06207131245387e-05,5.96324284252908e-05,-5.44848214478596e-05,3.36122248169337e-05,-0.000115309444793714,7.43658237519814e-05,-2.3018177511849e-05,2.35585805457639e-05,8.92106601115593e-05,-9.66157499166897e-05,4.76305923004089e-05,-2.82312221179411e-06,-5.96509104247392e-05,5.78718733216627e-05,-6.57928159941978e-07,-4.75280285968807e-05,5.32124940418935e-05,-2.50888892546721e-05,2.16894466595423e-05,-0.000923619772136683,-0.000963531689697098,0.000181268325836232,-0.0031751179948988
"kabwe","beta10",9.72558665184473e-06,3.96511078105305e-05,5.00677195161637e-05,-8.53380062335425e-06,3.01772315353916e-06,-1.55199951624845e-05,-1.1547038286041e-05,-1.43534284931991e-05,3.76508433508703e-05,-2.49086139169548e-05,6.24001467840336e-06,-1.09913445699315e-05,-1.51151207848061e-05,-9.22313897361499e-06,1.6907825143182e-05,1.44397302481035e-05,-8.47863756141655e-06,-2.51186642305002e-05,-5.4879564204153e-06,3.98639949046689e-06,2.0698944363584e-05,2.56705903432216e-05,-2.81474116207898e-05,-3.33010820893026e-05,-3.43260368494672e-05,3.23140885542658e-05,1.62422985017884e-05,-1.46015274718735e-05,-3.72087824637922e-05,1.16558657453015e-05,-2.45839453657624e-06,1.17398368632972e-05,2.99849595807174e-05,-4.89833106791668e-05,1.77955780994257e-05,-1.08727682231606e-05,-2.91540439267128e-05,-1.53198441288763e-05,5.32815509937309e-06,-2.64689740749967e-05,1.06325528014932e-05,3.17414822097703e-06,-1.34973921761574e-05,0.000573910492958513,0.000379608927809753,-4.78986782353338e-05,0.000391979921722684
"kabwe","beta11",3.88097664988108e-05,2.84045184030681e-05,-8.53380062335425e-06,7.49566797086626e-05,4.32122637484722e-06,-3.15709930873951e-05,1.15682010426265e-05,-6.28436989509643e-06,-1.04517679330117e-05,-1.01932523386412e-05,1.65567847551643e-05,-3.50567365570692e-05,2.7977431580716e-05,-1.55949898191878e-05,2.73477760370936e-05,3.72934488960568e-06,5.50270381790279e-06,-1.13935819868285e-05,-1.34981158956066e-05,-2.8401183959323e-05,4.7360993763112e-05,-5.59317282146218e-07,-1.34469713868462e-05,-1.87462496796884e-05,1.95815935795351e-05,-3.30731817495515e-05,-1.18406743705566e-05,-2.61140266921318e-06,-4.11972679078341e-05,7.99744797166105e-06,1.25868803528689e-05,-3.22321372065015e-05,8.12684156647709e-05,-9.88665236975122e-05,3.30482439321885e-05,-1.71111766597093e-05,6.01745086364133e-05,5.08441306932057e-05,1.83547060073669e-05,3.86794716511086e-06,-1.5430927902224e-06,-3.62858052457916e-05,3.56819669256971e-07,0.00106973032115367,-0.00126842949680064,0.000131536344639198,-0.00162915053940119
"kabwe","beta12",-2.70682920789715e-05,6.78079161172145e-05,3.01772315353916e-06,4.32122637484722e-06,0.000120760745266649,-5.31181634229157e-05,-2.78196718801748e-05,-6.3827018638356e-05,2.28948020991488e-05,-1.96081942538872e-05,2.01302525487114e-05,-4.04588857497702e-05,-3.41609933927013e-06,3.65607211829912e-05,2.5220818608165e-05,-2.91105758038273e-05,5.04171207785796e-05,-4.86884062374662e-05,-3.04002833550495e-05,-1.186168816534e-05,8.56574559449056e-05,3.50300158977175e-05,-6.25983236736558e-05,-4.1032231397446e-05,-1.97073387425243e-05,4.20705291003537e-06,-4.18354138754155e-05,1.64230903968753e-05,-1.87050560598448e-05,-1.10207296056273e-05,-2.27894388774386e-05,2.03818644923055e-05,4.3008006629912e-05,-2.00770835668614e-05,5.31721532831819e-05,0.000131619261273087,8.24068791730003e-06,1.79943795050052e-05,9.01733753268039e-06,-2.41960687579865e-05,3.50781706242386e-05,-3.56633961464268e-05,-5.8323856580915e-06,0.00112785780873302,0.00136340582501821,-9.90371901308156e-05,0.000816651213241215
"kabwe","beta13",8.19083426337962e-09,-4.24288656361296e-05,-1.55199951624845e-05,-3.15709930873951e-05,-5.31181634229157e-05,9.08292397324233e-05,-1.21051383603293e-05,5.60401245843938e-05,-3.52812668904466e-05,-7.34553651358012e-06,-2.27915947862241e-05,1.90192279652576e-05,2.9002978658922e-05,1.00856182544461e-05,-1.64311431989952e-05,1.94410940695632e-05,-8.07370742403582e-06,2.8072429225687e-05,1.57498230221874e-05,1.90434724700951e-05,-6.46734602379992e-05,-4.57342961197613e-06,7.63234169884861e-05,3.15234387544256e-05,5.20056373714977e-06,-2.27594485244615e-05,1.29239676599882e-05,2.74536308127358e-06,2.51059720259439e-05,1.13830241520388e-05,-2.22395110951767e-05,2.08967080425388e-05,-5.85461935529558e-05,6.68587903974095e-05,-3.12261708254868e-05,-5.61737013447566e-05,-1.92483393220557e-05,-2.52240868845896e-05,3.84921482264051e-06,-8.16408156567109e-06,-1.86757557001158e-05,2.14036095574197e-05,1.15712020368198e-05,-0.00171107322004103,-0.000661093232153895,0.000219541142145258,0.000832642761955617
"kabwe","beta14",8.14800619861634e-05,-3.3830640072029e-05,-1.1547038286041e-05,1.15682010426265e-05,-2.78196718801748e-05,-1.21051383603293e-05,0.000120900118691247,-8.36215494437926e-05,1.74729867125819e-05,-1.14422055782837e-05,-8.56040774281479e-06,2.34165115097931e-05,-2.48243180379054e-05,2.78199562954605e-05,1.03007785155345e-05,-4.91839497734643e-05,-2.03385580208061e-05,-1.40059751729338e-06,4.17225830828636e-05,5.33073095334969e-06,-8.24681857544089e-05,1.07356403805063e-05,-7.73603018602287e-05,2.01335822848951e-05,7.69939224332869e-05,1.57212377749873e-05,-7.48690892917786e-05,5.16652300525575e-05,-1.35022759764556e-05,1.72179739200307e-06,1.84136502688173e-05,-3.33121614998192e-05,-2.5558521726313e-05,1.4777953050098e-05,-4.6734472409464e-06,-7.44176523712756e-05,8.37264475669424e-05,0.000100044058617624,-3.01488084162869e-05,4.83853704639695e-05,1.44493550180252e-05,1.24416120854526e-05,-7.43475437581857e-06,0.00132851770475849,4.98612823572938e-05,-0.000241870331592797,-0.00317864582196859
"kabwe","beta15",-1.83249926510346e-05,-4.51715798698076e-05,-1.43534284931991e-05,-6.28436989509643e-06,-6.3827018638356e-05,5.60401245843938e-05,-8.36215494437926e-05,0.000333946727192168,-0.000144718294370076,1.60217290793323e-05,-4.24510456185993e-05,-8.50984967722381e-05,8.02168132431711e-05,-6.35440411798931e-05,-1.72694551678114e-05,0.000207556055330407,-9.83186923799191e-05,6.74886927919621e-05,-1.66480139400117e-05,-2.68591756788768e-05,-4.69722820642226e-05,2.16033782016572e-05,0.000225183757795705,4.39666500214389e-05,-7.26842779911908e-05,-0.000115476686549303,0.000125627368807267,-4.28702483484783e-05,-2.99722295829808e-05,7.38798145247402e-05,-3.38852407702462e-05,0.000107602385294888,5.89423660586102e-05,-0.000124753321048047,-4.15774494951567e-05,-2.17045712604805e-05,-4.85966320790191e-05,-6.49233873773248e-05,4.15818207276832e-05,6.93751712540204e-06,-4.88400818889255e-05,-2.56447699493392e-05,-1.34510378841801e-05,-0.000819678693367502,-0.00259588510171616,0.000412434812092242,-0.00288532152251733
"kabwe","beta16",9.26206419207837e-05,9.21449455519807e-05,3.76508433508703e-05,-1.04517679330117e-05,2.28948020991488e-05,-3.52812668904466e-05,1.74729867125819e-05,-0.000144718294370076,0.00017214842180731,-8.00512792991404e-05,-4.40032298236861e-05,-8.6150262233488e-06,-2.38590309970137e-05,6.6078747836963e-05,4.15414392777586e-05,-7.30435483006335e-05,4.80410591984029e-05,-8.37755707827716e-05,6.48500039907554e-05,4.7726574466271e-05,2.16906460859454e-05,2.41679382917701e-05,-0.000104911478715657,-0.000103049078913693,3.82335676390841e-05,8.94965975539555e-05,-5.44249588663784e-05,4.21883270840147e-05,-1.21275859432449e-05,3.75863030738142e-05,1.35757480630479e-05,9.02327340303105e-06,-2.49396419768623e-05,3.78431147249089e-05,9.48195567044878e-07,-0.000112625043516089,-7.92707653643411e-05,1.58658577420318e-05,-4.93898950037043e-05,-1.98673771568278e-05,5.85630736106493e-05,3.96943025028778e-05,2.44167779366488e-05,-0.00211479837956547,8.64656605216872e-05,-8.28550374451688e-06,-0.000566953795378722
"kabwe","beta17",-1.91917303279354e-05,-9.14190846310972e-05,-2.49086139169548e-05,-1.01932523386412e-05,-1.96081942538872e-05,-7.34553651358012e-06,-1.14422055782837e-05,1.60217290793323e-05,-8.00512792991404e-05,0.000198871141524688,4.37660432981105e-05,3.7443486756056e-05,-3.11186903937906e-05,-7.66963501388374e-05,-7.14087311468606e-05,9.64876944594734e-06,-1.31579535028327e-05,3.94468809876573e-05,-1.48185235206381e-05,7.28170068798944e-07,1.75459234359022e-05,-7.51105204195855e-05,1.48415436566592e-05,0.000112154087016146,-1.30833504605599e-05,-6.42298506957334e-05,6.99592048558452e-05,-5.02652518711043e-05,0.000115245106374475,-0.000125937316997839,6.40933237431931e-05,-2.55462639242862e-05,-0.00011337452679736,8.74924129067452e-05,-1.96269399634889e-05,0.000115670662303523,-1.97445447700692e-05,-6.26531817281085e-05,-4.17241519459997e-06,-7.84467937946638e-06,-8.94615726530714e-06,2.50910483317067e-05,-1.94900988762903e-05,0.00100127232193248,0.00222597934286326,-0.000218266368469501,0.0063348513935397
